x,y,r,g,b,opacity
79,11,33,58,178,1.0
80,11,33,59,178,1.0
81,11,33,58,177,1.0
82,11,33,59,178,1.0
83,11,32,58,177,1.0
84,11,32,58,177,1.0
85,11,32,59,178,1.0
86,11,33,58,178,1.0
87,11,32,58,178,1.0
88,11,33,58,178,1.0
89,11,33,59,178,1.0
90,11,33,59,178,0.7
91,11,32,58,177,0.2
92,11,30,60,181,0.0
108,11,31,55,178,0.0
109,11,31,57,177,0.0
110,11,32,59,177,0.0
111,11,32,59,178,0.1
112,11,32,59,178,0.1
113,11,32,59,178,0.3
114,11,33,59,178,0.5
115,11,33,59,177,0.8
116,11,33,59,178,1.0
117,11,32,58,178,1.0
118,11,33,58,178,1.0
119,11,33,59,178,1.0
120,11,33,59,178,1.0
121,11,32,58,178,1.0
122,11,33,59,178,1.0
123,11,33,59,178,1.0
124,11,33,59,178,1.0
125,11,33,59,178,1.0
126,11,33,59,178,1.0
127,11,33,59,178,1.0
128,11,33,59,177,1.0
129,11,32,59,177,0.9
130,11,32,59,177,0.4
131,11,32,57,178,0.0
11,12,33,59,177,0.1
12,12,33,59,178,0.3
13,12,33,59,178,0.3
14,12,33,59,178,0.3
15,12,33,59,178,0.3
16,12,33,59,178,0.3
17,12,33,59,178,0.3
18,12,33,59,178,0.3
19,12,33,59,178,0.3
20,12,33,59,178,0.3
21,12,33,59,178,0.3
22,12,33,59,178,0.3
23,12,33,59,178,0.3
24,12,33,59,178,0.1
35,12,32,58,178,0.1
36,12,32,58,178,0.3
37,12,33,59,178,0.7
38,12,33,59,178,1.0
39,12,33,59,178,1.0
40,12,33,59,178,1.0
41,12,33,59,178,1.0
42,12,33,59,178,1.0
43,12,33,59,178,1.0
44,12,33,59,178,1.0
45,12,33,59,178,1.0
46,12,33,59,178,1.0
47,12,33,58,177,1.0
48,12,33,59,177,1.0
49,12,33,58,177,1.0
50,12,32,58,177,1.0
51,12,32,58,177,0.9
52,12,32,59,177,0.6
53,12,33,58,178,0.8
54,12,33,58,178,1.0
55,12,33,58,178,1.0
56,12,33,59,178,1.0
57,12,33,59,178,1.0
